#,#,#,#,#,#
1,113.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,114.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,115.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,116.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,117.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,118.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,119.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,120.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,122.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,123.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,134.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,136.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,137.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,138.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,142.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,143.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,144.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,151.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,152.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,153.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,154.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,159.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,163.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,164.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,173.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,179.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,180.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,182.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,183.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,185.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,308.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,310.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,312.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,313.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,322.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,323.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,324.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,325.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,330.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,338.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,350.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,351.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,352.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,353.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,354.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,356.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,357.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,358.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,359.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,360.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,361.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,362.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,363.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,364.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,365.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,367.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,368.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,369.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,370.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,372.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
